SalesKey,OrderDate,OrderNumber,OrderLineItem,ProductKey,CustomerKey,TerritoryKey,OrderQuantity
SO45080-1,2015-01-01,SO45080,1,332,14657,1,1
SO45079-1,2015-01-01,SO45079,1,312,29255,4,1
SO45082-1,2015-01-01,SO45082,1,350,11455,9,1
SO45081-1,2015-01-01,SO45081,1,338,26782,6,1
SO45083-1,2015-01-02,SO45083,1,312,14947,10,1
SO45084-1,2015-01-02,SO45084,1,310,29143,4,1
SO45086-1,2015-01-02,SO45086,1,314,18747,9,1
SO45085-1,2015-01-02,SO45085,1,312,18746,9,1
SO45093-1,2015-01-03,SO45093,1,312,18906,9,1
SO45090-1,2015-01-03,SO45090,1,310,29170,4,1
SO45088-1,2015-01-03,SO45088,1,345,11398,10,1
SO45092-1,2015-01-03,SO45092,1,313,18899,9,1
SO45089-1,2015-01-03,SO45089,1,351,25977,4,1
SO45091-1,2015-01-03,SO45091,1,314,18909,9,1
SO45087-1,2015-01-03,SO45087,1,350,11388,10,1
SO45094-1,2015-01-03,SO45094,1,310,22785,6,1
SO45096-1,2015-01-04,SO45096,1,312,12483,7,1
SO45097-1,2015-01-04,SO45097,1,313,29151,4,1
SO45098-1,2015-01-04,SO45098,1,310,29167,1,1
SO45095-1,2015-01-04,SO45095,1,344,11394,10,1
SO45099-1,2015-01-04,SO45099,1,312,29174,1,1
SO45101-1,2015-01-05,SO45101,1,313,22748,6,1
SO45100-1,2015-01-05,SO45100,1,326,19428,8,1
SO45102-1,2015-01-05,SO45102,1,310,29274,4,1
SO45104-1,2015-01-06,SO45104,1,310,29142,4,1
SO45108-1,2015-01-06,SO45108,1,310,22975,6,1
SO45105-1,2015-01-06,SO45105,1,312,22765,6,1
SO45103-1,2015-01-06,SO45103,1,310,29140,1,1
SO45106-1,2015-01-06,SO45106,1,348,19987,6,1
SO45107-1,2015-01-06,SO45107,1,312,29275,4,1
SO45109-1,2015-01-07,SO45109,1,311,14937,10,1
SO45112-1,2015-01-07,SO45112,1,324,20558,10,1
SO45111-1,2015-01-07,SO45111,1,326,25713,9,1
SO45110-1,2015-01-07,SO45110,1,311,18710,9,1
SO45119-1,2015-01-08,SO45119,1,314,18740,9,1
SO45117-1,2015-01-08,SO45117,1,342,14727,1,1
SO45116-1,2015-01-08,SO45116,1,311,29204,1,1
SO45114-1,2015-01-08,SO45114,1,310,29146,1,1
SO45115-1,2015-01-08,SO45115,1,348,25984,4,1
SO45118-1,2015-01-08,SO45118,1,314,18722,9,1
SO45113-1,2015-01-08,SO45113,1,313,29141,4,1
SO45120-1,2015-01-08,SO45120,1,344,11751,9,1
SO45124-1,2015-01-09,SO45124,1,313,18725,9,1
SO45122-1,2015-01-09,SO45122,1,314,29236,4,1
SO45123-1,2015-01-09,SO45123,1,311,22971,6,1
SO45121-1,2015-01-09,SO45121,1,310,29169,1,1
SO45129-1,2015-01-10,SO45129,1,350,11759,9,1
SO45127-1,2015-01-10,SO45127,1,313,29158,1,1
SO45128-1,2015-01-10,SO45128,1,310,18726,9,1
SO45126-1,2015-01-10,SO45126,1,311,12480,7,1
SO45136-1,2015-01-11,SO45136,1,312,19084,9,1
SO45130-1,2015-01-11,SO45130,1,313,14975,10,1
SO45134-1,2015-01-11,SO45134,1,314,22895,6,1
SO45138-1,2015-01-11,SO45138,1,349,11452,9,1
SO45132-1,2015-01-11,SO45132,1,350,25985,4,1
SO45137-1,2015-01-11,SO45137,1,310,18735,9,1
SO45133-1,2015-01-11,SO45133,1,314,29163,1,1
SO45131-1,2015-01-11,SO45131,1,344,25979,1,1
SO45135-1,2015-01-11,SO45135,1,310,29264,4,1
SO45141-1,2015-01-12,SO45141,1,312,29222,4,1
SO45143-1,2015-01-12,SO45143,1,310,29278,4,1
SO45142-1,2015-01-12,SO45142,1,311,22901,6,1
SO45145-1,2015-01-12,SO45145,1,314,18716,9,1
SO45144-1,2015-01-12,SO45144,1,311,19093,9,1
SO45140-1,2015-01-12,SO45140,1,312,12485,7,1
SO45139-1,2015-01-12,SO45139,1,314,12468,7,1
SO45148-1,2015-01-13,SO45148,1,342,14656,1,1
SO45147-1,2015-01-13,SO45147,1,312,29166,4,1
SO45146-1,2015-01-13,SO45146,1,310,14950,10,1
SO45149-1,2015-01-14,SO45149,1,314,14941,10,1
SO45154-1,2015-01-14,SO45154,1,313,18767,9,1
SO45151-1,2015-01-14,SO45151,1,314,29202,1,1
SO45150-1,2015-01-14,SO45150,1,346,25980,1,1
SO45157-1,2015-01-14,SO45157,1,344,11750,9,1
SO45156-1,2015-01-14,SO45156,1,344,11465,9,1
SO45155-1,2015-01-14,SO45155,1,312,18900,9,1
SO45153-1,2015-01-14,SO45153,1,310,19089,9,1
SO45152-1,2015-01-14,SO45152,1,310,29276,1,1
SO45162-1,2015-01-15,SO45162,1,312,18721,9,1
SO45158-1,2015-01-15,SO45158,1,344,28419,7,1
SO45163-1,2015-01-15,SO45163,1,328,25714,9,1
SO45159-1,2015-01-15,SO45159,1,349,11400,10,1
SO45161-1,2015-01-15,SO45161,1,349,25978,4,1
SO45160-1,2015-01-15,SO45160,1,310,14984,10,1
SO45164-1,2015-01-15,SO45164,1,349,11453,9,1
SO45167-1,2015-01-16,SO45167,1,311,18706,9,1
SO45169-1,2015-01-16,SO45169,1,314,18766,9,1
SO45171-1,2015-01-16,SO45171,1,345,11754,9,1
SO45170-1,2015-01-16,SO45170,1,351,11462,9,1
SO45166-1,2015-01-16,SO45166,1,312,19083,9,1
SO45168-1,2015-01-16,SO45168,1,312,18738,9,1
SO45165-1,2015-01-16,SO45165,1,313,22881,6,1
SO45172-1,2015-01-17,SO45172,1,334,18008,7,1
SO45176-1,2015-01-17,SO45176,1,313,29254,1,1
SO45174-1,2015-01-17,SO45174,1,313,29198,4,1
SO45179-1,2015-01-17,SO45179,1,351,11457,9,1
SO45178-1,2015-01-17,SO45178,1,347,11456,9,1
SO45177-1,2015-01-17,SO45177,1,314,18903,9,1
SO45173-1,2015-01-17,SO45173,1,314,29157,4,1
SO45175-1,2015-01-17,SO45175,1,313,29238,4,1
SO45180-1,2015-01-18,SO45180,1,311,15046,10,1
SO45184-1,2015-01-18,SO45184,1,320,25717,9,1
SO45183-1,2015-01-18,SO45183,1,334,25711,9,1
SO45181-1,2015-01-18,SO45181,1,310,14929,10,1
SO45185-1,2015-01-18,SO45185,1,310,14949,10,1
SO45182-1,2015-01-18,SO45182,1,312,18769,9,1
SO45186-1,2015-01-19,SO45186,1,313,14991,10,1
SO45191-1,2015-01-19,SO45191,1,328,14660,1,1
SO45187-1,2015-01-19,SO45187,1,310,15047,10,1
SO45188-1,2015-01-19,SO45188,1,311,14861,10,1
SO45190-1,2015-01-19,SO45190,1,313,18931,9,1
SO45189-1,2015-01-19,SO45189,1,310,29145,1,1
SO45196-1,2015-01-20,SO45196,1,311,18739,9,1
SO45195-1,2015-01-20,SO45195,1,313,18929,9,1
SO45193-1,2015-01-20,SO45193,1,310,22889,6,1
SO45194-1,2015-01-20,SO45194,1,313,29221,4,1
SO45192-1,2015-01-20,SO45192,1,314,14846,10,1
SO45197-1,2015-01-20,SO45197,1,314,18902,9,1
SO45201-1,2015-01-21,SO45201,1,312,29168,4,1
SO45199-1,2015-01-21,SO45199,1,346,29476,8,1
SO45200-1,2015-01-21,SO45200,1,311,29148,4,1
SO45204-1,2015-01-21,SO45204,1,345,11460,9,1
SO45203-1,2015-01-21,SO45203,1,314,18907,9,1
SO45202-1,2015-01-21,SO45202,1,314,19094,9,1
SO45198-1,2015-01-21,SO45198,1,313,14847,10,1
SO45213-1,2015-01-22,SO45213,1,349,11464,9,1
SO45207-1,2015-01-22,SO45207,1,312,29156,4,1
SO45211-1,2015-01-22,SO45211,1,311,18724,9,1
SO45212-1,2015-01-22,SO45212,1,314,18729,9,1
SO45208-1,2015-01-22,SO45208,1,344,19884,6,1
SO45209-1,2015-01-22,SO45209,1,314,29201,4,1
SO45210-1,2015-01-22,SO45210,1,311,29239,4,1
SO45206-1,2015-01-22,SO45206,1,313,12474,7,1
SO45205-1,2015-01-22,SO45205,1,344,28420,7,1
SO45215-1,2015-01-23,SO45215,1,312,29208,1,1
SO45214-1,2015-01-23,SO45214,1,310,12464,7,1
SO45216-1,2015-01-23,SO45216,1,313,29261,4,1
SO45217-1,2015-01-24,SO45217,1,314,29144,1,1
SO45219-1,2015-01-24,SO45219,1,313,22893,6,1
SO45222-1,2015-01-24,SO45222,1,330,14728,1,1
SO45221-1,2015-01-24,SO45221,1,314,22903,6,1
SO45220-1,2015-01-24,SO45220,1,312,29207,1,1
SO45223-1,2015-01-24,SO45223,1,312,18930,9,1
SO45224-1,2015-01-24,SO45224,1,311,18723,9,1
SO45218-1,2015-01-24,SO45218,1,345,25982,1,1
SO45228-1,2015-01-25,SO45228,1,314,18768,9,1
SO45226-1,2015-01-25,SO45226,1,342,14662,4,1
SO45225-1,2015-01-25,SO45225,1,338,14653,4,1
SO45227-1,2015-01-25,SO45227,1,322,14726,1,1
SO45232-1,2015-01-26,SO45232,1,310,18736,9,1
SO45233-1,2015-01-26,SO45233,1,344,11472,9,1
SO45231-1,2015-01-26,SO45231,1,314,18908,9,1
SO45229-1,2015-01-26,SO45229,1,349,11387,10,1
SO45236-1,2015-01-27,SO45236,1,312,18731,9,1
SO45234-1,2015-01-27,SO45234,1,328,18009,7,1
SO45235-1,2015-01-27,SO45235,1,314,29147,1,1
SO45237-1,2015-01-27,SO45237,1,314,18737,9,1
SO45238-1,2015-01-27,SO45238,1,346,11459,9,1
SO45242-1,2015-01-28,SO45242,1,311,29223,1,1
SO45240-1,2015-01-28,SO45240,1,310,29155,1,1
SO45241-1,2015-01-28,SO45241,1,311,29203,4,1
SO45244-1,2015-01-28,SO45244,1,350,11756,9,1
SO45243-1,2015-01-28,SO45243,1,334,25715,9,1
SO45245-1,2015-01-29,SO45245,1,310,18928,9,1
SO45246-1,2015-01-29,SO45246,1,310,18709,9,1
SO45247-1,2015-01-29,SO45247,1,334,25716,9,1
SO45248-1,2015-01-29,SO45248,1,344,11451,9,1
SO45254-1,2015-01-30,SO45254,1,314,29252,4,1
SO45258-1,2015-01-30,SO45258,1,340,25712,9,1
SO45253-1,2015-01-30,SO45253,1,314,29237,4,1
SO45256-1,2015-01-30,SO45256,1,336,14664,4,1
SO45255-1,2015-01-30,SO45255,1,314,29258,1,1
SO45250-1,2015-01-30,SO45250,1,310,14147,8,1
SO45251-1,2015-01-30,SO45251,1,334,19422,8,1
SO45249-1,2015-01-30,SO45249,1,310,14928,10,1
SO45257-1,2015-01-30,SO45257,1,314,18718,9,1
SO45252-1,2015-01-30,SO45252,1,312,22877,6,1
SO45262-1,2015-01-31,SO45262,1,313,29265,4,1
SO45259-1,2015-01-31,SO45259,1,314,29225,1,1
SO45264-1,2015-01-31,SO45264,1,349,11454,9,1
SO45261-1,2015-01-31,SO45261,1,312,29175,1,1
SO45263-1,2015-01-31,SO45263,1,340,14722,1,1
SO45265-1,2015-01-31,SO45265,1,350,11461,9,1
SO45260-1,2015-01-31,SO45260,1,310,29150,1,1
SO45345-1,2015-02-01,SO45345,1,313,15048,10,1
SO45349-1,2015-02-01,SO45349,1,312,19568,9,1
SO45347-1,2015-02-01,SO45347,1,342,14733,4,1
SO45348-1,2015-02-01,SO45348,1,311,19562,9,1
SO45350-1,2015-02-01,SO45350,1,311,19613,9,1
SO45354-1,2015-02-02,SO45354,1,340,19432,8,1
SO45352-1,2015-02-02,SO45352,1,313,15081,10,1
SO45356-1,2015-02-02,SO45356,1,313,19096,9,1
SO45353-1,2015-02-02,SO45353,1,310,28630,6,1
SO45355-1,2015-02-02,SO45355,1,312,28778,6,1
SO45351-1,2015-02-02,SO45351,1,313,12520,7,1
SO45358-1,2015-02-03,SO45358,1,312,23172,6,1
SO45357-1,2015-02-03,SO45357,1,351,28443,7,1
SO45361-1,2015-02-03,SO45361,1,312,23057,6,1
SO45360-1,2015-02-03,SO45360,1,313,28036,6,1
SO45362-1,2015-02-03,SO45362,1,313,19271,9,1
SO45359-1,2015-02-03,SO45359,1,313,11227,4,1
SO45363-1,2015-02-03,SO45363,1,312,19565,9,1
SO45364-1,2015-02-04,SO45364,1,311,14161,8,1
SO45366-1,2015-02-04,SO45366,1,330,18011,7,1
SO45365-1,2015-02-04,SO45365,1,313,15078,10,1
SO45369-1,2015-02-04,SO45369,1,314,19269,9,1
SO45370-1,2015-02-04,SO45370,1,312,19270,9,1
SO45368-1,2015-02-04,SO45368,1,328,14732,1,1
SO45367-1,2015-02-04,SO45367,1,328,20561,10,1
SO45375-1,2015-02-05,SO45375,1,313,19596,9,1
SO45376-1,2015-02-05,SO45376,1,344,11761,9,1
SO45371-1,2015-02-05,SO45371,1,310,15062,10,1
SO45372-1,2015-02-05,SO45372,1,348,28449,7,1
SO45374-1,2015-02-05,SO45374,1,312,22996,6,1
SO45373-1,2015-02-05,SO45373,1,349,25994,1,1
SO45384-1,2015-02-06,SO45384,1,338,26789,6,1
SO45380-1,2015-02-06,SO45380,1,324,18010,7,1
SO45377-1,2015-02-06,SO45377,1,313,15077,10,1
SO45381-1,2015-02-06,SO45381,1,344,19988,6,1
SO45382-1,2015-02-06,SO45382,1,313,11129,1,1
SO45378-1,2015-02-06,SO45378,1,310,28178,6,1
SO45383-1,2015-02-06,SO45383,1,332,14734,1,1
SO45385-1,2015-02-06,SO45385,1,334,14735,1,1
SO45379-1,2015-02-06,SO45379,1,313,28363,6,1
SO45386-1,2015-02-06,SO45386,1,312,19607,9,1
SO45388-1,2015-02-07,SO45388,1,350,25986,1,1
SO45390-1,2015-02-07,SO45390,1,310,19560,9,1
SO45392-1,2015-02-07,SO45392,1,344,11762,9,1
SO45391-1,2015-02-07,SO45391,1,313,19588,9,1
SO45387-1,2015-02-07,SO45387,1,310,11224,1,1
SO45389-1,2015-02-07,SO45389,1,310,11090,4,1
SO45394-1,2015-02-08,SO45394,1,348,11468,10,1
SO45395-1,2015-02-08,SO45395,1,313,29352,4,1
SO45393-1,2015-02-08,SO45393,1,312,14171,8,1
SO45396-1,2015-02-08,SO45396,1,312,19594,9,1
SO45397-1,2015-02-09,SO45397,1,313,15051,10,1
SO45398-1,2015-02-09,SO45398,1,312,15059,10,1
SO45400-1,2015-02-10,SO45400,1,313,14162,8,1
SO45406-1,2015-02-10,SO45406,1,351,25987,4,1
SO45401-1,2015-02-10,SO45401,1,310,15058,10,1
SO45405-1,2015-02-10,SO45405,1,312,23209,6,1
SO45409-1,2015-02-10,SO45409,1,312,19612,9,1
SO45402-1,2015-02-10,SO45402,1,344,11413,10,1
SO45404-1,2015-02-10,SO45404,1,310,11217,1,1
SO45407-1,2015-02-10,SO45407,1,314,29285,4,1
SO45408-1,2015-02-10,SO45408,1,314,29326,4,1
SO45419-1,2015-02-11,SO45419,1,314,19555,9,1
SO45412-1,2015-02-11,SO45412,1,310,23137,6,1
SO45417-1,2015-02-11,SO45417,1,310,28620,6,1
