ProductKey,ProductName,CategoryName,SubcategoryName,ProductCost,ProductPrice,Profit,ProductColor,ProductSize,ProductStyle
214,"Sport-100 Helmet, Red",Accessories,Helmets,13.0863,34.99,21.9037,Red,0,0
215,"Sport-100 Helmet, Black",Accessories,Helmets,12.0278,33.6442,21.6164,Black,0,0
218,"Mountain Bike Socks, M",Clothing,Socks,3.3963,9.5,6.1037,White,M,U
219,"Mountain Bike Socks, L",Clothing,Socks,3.3963,9.5,6.1037,White,L,U
220,"Sport-100 Helmet, Blue",Accessories,Helmets,12.0278,33.6442,21.6164,Blue,0,0
223,AWC Logo Cap,Clothing,Caps,5.7052,8.6442,2.939,Multi,0,U
226,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys,31.7244,48.0673,16.342900000000004,Multi,S,U
229,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,31.7244,48.0673,16.342900000000004,Multi,M,U
232,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,31.7244,48.0673,16.342900000000004,Multi,L,U
235,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,31.7244,48.0673,16.342900000000004,Multi,XL,U
238,"HL Road Frame - Red, 62",Components,Road Frames,747.9682,1263.4598,515.4916000000001,Red,62,U
241,"HL Road Frame - Red, 44",Components,Road Frames,747.9682,1263.4598,515.4916000000001,Red,44,U
244,"HL Road Frame - Red, 48",Components,Road Frames,747.9682,1263.4598,515.4916000000001,Red,48,U
247,"HL Road Frame - Red, 52",Components,Road Frames,747.9682,1263.4598,515.4916000000001,Red,52,U
250,"HL Road Frame - Red, 56",Components,Road Frames,747.9682,1263.4598,515.4916000000001,Red,56,U
253,"LL Road Frame - Black, 58",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,58,U
256,"LL Road Frame - Black, 60",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,60,U
259,"LL Road Frame - Black, 62",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,62,U
262,"LL Road Frame - Red, 44",Components,Road Frames,181.4857,306.5636,125.0779,Red,44,U
264,"LL Road Frame - Red, 48",Components,Road Frames,181.4857,306.5636,125.0779,Red,48,U
266,"LL Road Frame - Red, 52",Components,Road Frames,181.4857,306.5636,125.0779,Red,52,U
268,"LL Road Frame - Red, 58",Components,Road Frames,181.4857,306.5636,125.0779,Red,58,U
270,"LL Road Frame - Red, 60",Components,Road Frames,181.4857,306.5636,125.0779,Red,60,U
272,"LL Road Frame - Red, 62",Components,Road Frames,181.4857,306.5636,125.0779,Red,62,U
274,"ML Road Frame - Red, 44",Components,Road Frames,352.1394,594.83,242.69060000000002,Red,44,U
275,"ML Road Frame - Red, 48",Components,Road Frames,352.1394,594.83,242.69060000000002,Red,48,U
276,"ML Road Frame - Red, 52",Components,Road Frames,352.1394,594.83,242.69060000000002,Red,52,U
277,"ML Road Frame - Red, 58",Components,Road Frames,352.1394,594.83,242.69060000000002,Red,58,U
278,"ML Road Frame - Red, 60",Components,Road Frames,352.1394,594.83,242.69060000000002,Red,60,U
279,"LL Road Frame - Black, 44",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,44,U
282,"LL Road Frame - Black, 48",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,48,U
285,"LL Road Frame - Black, 52",Components,Road Frames,176.1997,297.6346,121.43489999999997,Black,52,U
288,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,623.8403,1204.3248,580.4845000000001,Silver,42,U
291,"HL Mountain Frame - Silver, 44",Components,Mountain Frames,706.811,1364.5,657.689,Silver,44,U
292,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,706.811,1364.5,657.689,Silver,48,U
293,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,623.8403,1204.3248,580.4845000000001,Silver,46,U
296,"HL Mountain Frame - Black, 42",Components,Mountain Frames,617.0281,1191.1739,574.1458,Black,42,U
299,"HL Mountain Frame - Black, 44",Components,Mountain Frames,699.0928,1349.6,650.5071999999999,Black,44,U
300,"HL Mountain Frame - Black, 48",Components,Mountain Frames,699.0928,1349.6,650.5071999999999,Black,48,U
301,"HL Mountain Frame - Black, 46",Components,Mountain Frames,617.0281,1191.1739,574.1458,Black,46,U
304,"HL Mountain Frame - Black, 38",Components,Mountain Frames,617.0281,1191.1739,574.1458,Black,38,U
307,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,623.8403,1204.3248,580.4845000000001,Silver,38,U
310,"Road-150 Red, 62",Bikes,Road Bikes,2171.2942,3578.27,1406.9758000000002,Red,62,U
311,"Road-150 Red, 44",Bikes,Road Bikes,2171.2942,3578.27,1406.9758000000002,Red,44,U
312,"Road-150 Red, 48",Bikes,Road Bikes,2171.2942,3578.27,1406.9758000000002,Red,48,U
313,"Road-150 Red, 52",Bikes,Road Bikes,2171.2942,3578.27,1406.9758000000002,Red,52,U
314,"Road-150 Red, 56",Bikes,Road Bikes,2171.2942,3578.27,1406.9758000000002,Red,56,U
315,"Road-450 Red, 58",Bikes,Road Bikes,884.7083,1457.99,573.2817,Red,58,U
316,"Road-450 Red, 60",Bikes,Road Bikes,884.7083,1457.99,573.2817,Red,60,U
317,"Road-450 Red, 44",Bikes,Road Bikes,884.7083,1457.99,573.2817,Red,44,U
318,"Road-450 Red, 48",Bikes,Road Bikes,884.7083,1457.99,573.2817,Red,48,U
319,"Road-450 Red, 52",Bikes,Road Bikes,884.7083,1457.99,573.2817,Red,52,U
320,"Road-650 Red, 58",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,58,U
322,"Road-650 Red, 60",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,60,U
324,"Road-650 Red, 62",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,62,U
326,"Road-650 Red, 44",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,44,U
328,"Road-650 Red, 48",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,48,U
330,"Road-650 Red, 52",Bikes,Road Bikes,413.1463,699.0982,285.9519,Red,52,U
332,"Road-650 Black, 58",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,58,U
334,"Road-650 Black, 60",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,60,U
336,"Road-650 Black, 62",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,62,U
338,"Road-650 Black, 44",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,44,U
340,"Road-650 Black, 48",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,48,U
342,"Road-650 Black, 52",Bikes,Road Bikes,413.1463,699.0982,285.9519,Black,52,U
344,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,1912.1544,3399.99,1487.8355999999999,Silver,38,U
345,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,1912.1544,3399.99,1487.8355999999999,Silver,42,U
346,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,1912.1544,3399.99,1487.8355999999999,Silver,44,U
347,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,1912.1544,3399.99,1487.8355999999999,Silver,48,U
348,"Mountain-100 Black, 38",Bikes,Mountain Bikes,1898.0944,3374.99,1476.8955999999998,Black,38,U
349,"Mountain-100 Black, 42",Bikes,Mountain Bikes,1898.0944,3374.99,1476.8955999999998,Black,42,U
350,"Mountain-100 Black, 44",Bikes,Mountain Bikes,1898.0944,3374.99,1476.8955999999998,Black,44,U
351,"Mountain-100 Black, 48",Bikes,Mountain Bikes,1898.0944,3374.99,1476.8955999999998,Black,48,U
352,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,1117.8559,2071.4196,953.5637000000002,Silver,38,U
354,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,1117.8559,2071.4196,953.5637000000002,Silver,42,U
356,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,1117.8559,2071.4196,953.5637000000002,Silver,46,U
358,"Mountain-200 Black, 38",Bikes,Mountain Bikes,1105.81,2049.0982,943.2882,Black,38,U
360,"Mountain-200 Black, 42",Bikes,Mountain Bikes,1105.81,2049.0982,943.2882,Black,42,U
362,"Mountain-200 Black, 46",Bikes,Mountain Bikes,1105.81,2049.0982,943.2882,Black,46,U
364,"Mountain-300 Black, 38",Bikes,Mountain Bikes,598.4354,1079.99,481.55460000000005,Black,38,U
365,"Mountain-300 Black, 40",Bikes,Mountain Bikes,598.4354,1079.99,481.55460000000005,Black,40,U
366,"Mountain-300 Black, 44",Bikes,Mountain Bikes,598.4354,1079.99,481.55460000000005,Black,44,U
367,"Mountain-300 Black, 48",Bikes,Mountain Bikes,598.4354,1079.99,481.55460000000005,Black,48,U
368,"Road-250 Red, 44",Bikes,Road Bikes,1518.7864,2443.35,924.5636,Red,44,U
369,"Road-250 Red, 48",Bikes,Road Bikes,1518.7864,2443.35,924.5636,Red,48,U
370,"Road-250 Red, 52",Bikes,Road Bikes,1518.7864,2443.35,924.5636,Red,52,U
371,"Road-250 Red, 58",Bikes,Road Bikes,1320.6838,2181.5625,860.8787,Red,58,U
373,"Road-250 Black, 44",Bikes,Road Bikes,1320.6838,2181.5625,860.8787,Black,44,U
375,"Road-250 Black, 48",Bikes,Road Bikes,1320.6838,2181.5625,860.8787,Black,48,U
377,"Road-250 Black, 52",Bikes,Road Bikes,1320.6838,2181.5625,860.8787,Black,52,U
379,"Road-250 Black, 58",Bikes,Road Bikes,1320.6838,2181.5625,860.8787,Black,58,U
381,"Road-550-W Yellow, 38",Bikes,Road Bikes,605.6492,1000.4375,394.78830000000005,Yellow,38,W
383,"Road-550-W Yellow, 40",Bikes,Road Bikes,605.6492,1000.4375,394.78830000000005,Yellow,40,W
385,"Road-550-W Yellow, 42",Bikes,Road Bikes,605.6492,1000.4375,394.78830000000005,Yellow,42,W
387,"Road-550-W Yellow, 44",Bikes,Road Bikes,605.6492,1000.4375,394.78830000000005,Yellow,44,W
389,"Road-550-W Yellow, 48",Bikes,Road Bikes,605.6492,1000.4375,394.78830000000005,Yellow,48,W
391,LL Fork,Components,Forks,65.8097,148.22,82.41029999999999,Unknown,0,0
392,ML Fork,Components,Forks,77.9176,175.49,97.57240000000002,Unknown,0,0
393,HL Fork,Components,Forks,101.8936,229.49,127.5964,Unknown,0,0
394,LL Headset,Components,Headsets,15.1848,34.2,19.015200000000004,Unknown,0,0
395,ML Headset,Components,Headsets,45.4168,102.29,56.873200000000004,Unknown,0,0
396,HL Headset,Components,Headsets,55.3801,124.73,69.3499,Unknown,0,0
397,LL Mountain Handlebars,Components,Handlebars,17.978,40.4909,22.512900000000002,Unknown,0,0
399,ML Mountain Handlebars,Components,Handlebars,24.9932,56.2909,31.2977,Unknown,0,0
401,HL Mountain Handlebars,Components,Handlebars,48.5453,109.3364,60.7911,Unknown,0,0
403,LL Road Handlebars,Components,Handlebars,17.978,40.4909,22.512900000000002,Unknown,0,0
405,ML Road Handlebars,Components,Handlebars,24.9932,56.2909,31.2977,Unknown,0,0
407,HL Road Handlebars,Components,Handlebars,48.5453,109.3364,60.7911,Unknown,0,0
409,"ML Mountain Frame - Black, 38",Components,Mountain Frames,185.8193,348.76,162.9407,Black,38,U
410,LL Mountain Front Wheel,Components,Wheels,26.9708,60.745,33.77419999999999,Black,0,0
411,ML Mountain Front Wheel,Components,Wheels,92.8071,209.025,116.2179,Black,0,0
412,HL Mountain Front Wheel,Components,Wheels,133.2955,300.215,166.91949999999997,Black,0,0
413,LL Road Front Wheel,Components,Wheels,37.9909,85.565,47.574099999999994,Black,0,0
414,ML Road Front Wheel,Components,Wheels,110.2829,248.385,138.1021,Black,0,0
415,HL Road Front Wheel,Components,Wheels,146.5466,330.06,183.5134,Black,0,0
416,Touring Front Wheel,Components,Wheels,96.7964,218.01,121.21359999999999,Black,0,0
417,"ML Road Frame-W - Yellow, 38",Components,Road Frames,300.1188,540.7545,240.63569999999999,Yellow,38,W
419,LL Mountain Rear Wheel,Components,Wheels,38.9588,87.745,48.78620000000001,Black,0,0
420,ML Mountain Rear Wheel,Components,Wheels,104.7951,236.025,131.2299,Black,0,0
421,HL Mountain Rear Wheel,Components,Wheels,145.2835,327.215,181.93149999999997,Black,0,0
422,LL Road Rear Wheel,Components,Wheels,49.9789,112.565,62.586099999999995,Black,0,0
423,ML Road Rear Wheel,Components,Wheels,122.2709,275.385,153.1141,Black,0,0
424,HL Road Rear Wheel,Components,Wheels,158.5346,357.06,198.5254,Black,0,0
425,Touring Rear Wheel,Components,Wheels,108.7844,245.01,136.2256,Black,0,0
426,"ML Mountain Frame - Black, 40",Components,Mountain Frames,185.8193,348.76,162.9407,Black,40,U
427,"ML Mountain Frame - Black, 44",Components,Mountain Frames,185.8193,348.76,162.9407,Black,44,U
428,"ML Mountain Frame - Black, 48",Components,Mountain Frames,185.8193,348.76,162.9407,Black,48,U
429,"ML Road Frame-W - Yellow, 40",Components,Road Frames,300.1188,540.7545,240.63569999999999,Yellow,40,W
431,"ML Road Frame-W - Yellow, 42",Components,Road Frames,300.1188,540.7545,240.63569999999999,Yellow,42,W
433,"ML Road Frame-W - Yellow, 44",Components,Road Frames,300.1188,540.7545,240.63569999999999,Yellow,44,W
435,"ML Road Frame-W - Yellow, 48",Components,Road Frames,300.1188,540.7545,240.63569999999999,Yellow,48,W
437,"HL Road Frame - Black, 62",Components,Road Frames,722.2568,1301.3636,579.1067999999999,Black,62,U
439,"HL Road Frame - Black, 44",Components,Road Frames,722.2568,1301.3636,579.1067999999999,Black,44,U
441,"HL Road Frame - Black, 48",Components,Road Frames,722.2568,1301.3636,579.1067999999999,Black,48,U
443,"HL Road Frame - Black, 52",Components,Road Frames,722.2568,1301.3636,579.1067999999999,Black,52,U
445,"Men's Sports Shorts, S",Clothing,Shorts,24.7459,59.99,35.2441,Black,S,M
446,"Touring-Panniers, Large",Accessories,Panniers,51.5625,125.0,73.4375,Grey,0,0
447,Cable Lock,Accessories,Locks,10.3125,25.0,14.6875,Unknown,0,0
448,Minipump,Accessories,Pumps,8.2459,19.99,11.744099999999998,Unknown,0,0
449,Mountain Pump,Accessories,Pumps,10.3084,24.99,14.681599999999998,Unknown,0,0
450,Taillights - Battery-Powered,Accessories,Lights,5.7709,13.99,8.219100000000001,Unknown,0,0
